Grupo Empresarial;Código;Descrição;Conta Contábil;
FECD;A1.3.2.02;Equipamentos de mergulho (cilindro, octopus, manômetro, colete, 1 e 2 estágio) (1 un);21304004;
FECD;FECD001.1.1.10.04;PIS - FOLHA DE PAGAMENTO;45001013;
FECD;TEP001.1.1.07.09;PIS / COFINS / CSLL;21306003;
FECD;A1.4.1.06;Manutenção de equipamentos LIBMAR (gerador, ar-condicionado, microscópio) (1 serviço);21304014;
FECD;TEP001.1.1.05.01;REAGENTES;21304025;
FECD;TEP001.1.1.07.11;INFORMÁTICA;21302003;
FECD;FECD001.1.4.02.016;BANCO ITAÚ C/C 99.859-7 - SMBE - PROFª CLAUDIA RUSSO;35001005;
FECD;FECD001.1.1.07.14;MANUTENÇÃO E REPARO DE BENS;45002001;
FECD;GRANT001.1.1.07.09;PIS / COFINS / CSLL;21706003;
FECD;GRANT001.1.1.07.08;IRRF NFS;21706005;
FECD;FECD001.1.1.10.06;ANUENIOS;45001008;
FECD;GRANT002.1.1.04.01;REAGENTES;21704021;
FECD;PROJ001.1.1.01.09;FIXAÇÃO E CAPACITAÇÃO DE RECURSOS HUMANOS - FUNDOS SETORIAIS - (SET - A);21501004;
FECD;FECD001.1.1.10.01;SALÁRIOS;21102002;
FECD;PROJ001.1.1.06.01;PRESTAÇÕES DE SERVIÇOS (AUTÔNOMO);21502002;
FECD;FECD001.1.4.01.056;BANCO ITAÚ C/C 99.842-3 - INSCRIÇÕES;35001006;
FECD;FECD001.1.4.01.049;BANCO ITAÚ C/C 99.873-8 - PRIME AGRO - PROF. ANDREW;35001006;
FECD;A1.1.2.04;Desembolso Ar Condicionado;21304004;
FECD;FECD001.1.1.07.25;AUDITORIA;45002009;
FECD;PROJ001.1.1.04.04;RAÇÃO;21504025;
FECD;A1.5.2.01;Bens;21304004;
FECD;FECD001.1.1.06.01;PRESTAÇÕES DE SERVIÇOS (AUTÔNOMO);45002010;
FECD;IMP004.92;PERDA DE CAPITAL;21104002;
FECD;FECD001.1.4.02.023;BANCO ITAÚ C/C 14.360-8 - LVM AMILC;35001005;
FECD;PROJ001.1.1.10.03;FGTS - PROJETOS;21501010;
FECD;PROJ001.1.1.04.13;MATERIAIS DE LABORATORIO;21504025;
FECD;FECD001.1.4.03.007;BANCO DO BRASIL C/C 8.568-5 - OUHSC NORTON;35001009;
FECD;A2.2.1.01;Combustível para veículos e embarcações (litro);21304006;
FECD;PROJ001.1.1.07.24;ANUIDADES;21504003;
FECD;FECD001.1.1.07.27;SISTEMAS E PROGRAMAS;45002015;
FECD;FECD001.1.1.07.18;TELEFONE;45004001;
FECD;TEP002.1.4.01.02;RECEITAS ANTECIPADAS (ADMINISTRAÇÃO);21304020;
FECD;FECD001.1.4.01.007;BANCO DO BRASIL C/C 10.794-8 - EBBC6;35001006;
